,name,semester,program_id,credits,hours_lecture,seminar_lecture,estimation_in_diploma,exam,test,description,url
137,Механика Управляемых Систем,8,2,4,2,2,TRUE,TRUE,FALSE,,2
138,Численные Методы,8,2,4,2,2,TRUE,TRUE,TRUE,,2
139,Межфакультетские Курсы по Выбору Студента,8,2,1,0,0,FALSE,FALSE,TRUE,,2
140,Специальный Физико-Механический Практикум,8,2,4,2,2,FALSE,FALSE,TRUE,,2
141,Специальные Курсы (по выбору кафедры),8,2,2,1,1,FALSE,TRUE,FALSE,,2
142,Научно-исследовательский семинар,8,2,2,0,1,FALSE,FALSE,TRUE,,2
143,Философия,9,2,3,"1,5","1,5",FALSE,FALSE,TRUE,,2
144,Экономическая Теория,9,2,3,"1,5","1,5",FALSE,FALSE,TRUE,,2
145,Русский Язык и Культура Речи,9,2,4,2,2,FALSE,FALSE,TRUE,,2
146,Межфакультетские Курсы по Выбору Студента,9,2,1,0,0,FALSE,FALSE,TRUE,,2
147,Основы Квантовой Механики и Статистической Физики,9,2,4,2,2,TRUE,TRUE,TRUE,,2
148,Компьютерный Практикум по Специальности,9,2,3,"1,5","1,5",FALSE,FALSE,TRUE,,2
149,Специальные Курсы (по выбору кафедры),9,2,4,2,2,FALSE,TRUE,FALSE,,2
150,Специальные Курсы (по выбору студента),9,2,2,1,1,FALSE,TRUE,TRUE,,2
151,Научно-Исследовательский Семинар,9,2,2,1,1,FALSE,FALSE,FALSE,,2
152,Иностранный Язык: Методика Подготовки Научных Докладов и Ведения Дискуссий,10,2,2,1,1,FALSE,FALSE,TRUE,,2
153,Философия,10,2,3,"1,5","1,5",TRUE,TRUE,FALSE,,2
